地 区	发病数	死亡数	发病率	死亡率	time
北京市	92	0	0.5242		2010-08
福建省	213	0	0.5924		2004-06
上海市	25	0	0.1324		2009-09
江西省	408	0	0.9341		2008-05
四川省	48	0	0.059		2016-02
江苏省	10	0	0.0127		2012-02
陕西省	17	0	0.0455		2007-12
宁夏	3	0	0.0453		2016-08
江苏省	17	0	0.0214		2014-04
北京市	46	0	0.2223		2013-07
辽宁省	86	0	0.2014		2007-03
广东省	1483	0	1.8644		2004-05
甘肃省	112	0	0.4379		2011-03
广东省	16	0	0.0149		2016-10
贵州省	10	0	0.0287		2013-02
建设兵团	1	0	0.0366		2016-08
江苏省	13	0	0.0164		2013-02
福建省	44	0	0.1156		2016-06
安徽省	30	0	0.0489		2010-03
广东省	1064	0	1.1436		2007-10
江西省	320	1	0.7375	0.0023	2007-05
陕西省	16	0	0.0425		2014-06
全国	12203	4	0.9333	0.0003	2006-06
内蒙古	236	0	0.9777		2009-06
黑龙江省	2	0	0.0052		2016-10
新疆	16	0	0.0751		2009-10
重庆市	50	0	0.1671		2015-10
陕西省	375	1	1.0251	0.0027	2004-06
天津市	4	0	0.0384		2006-09
吉林省	1	0	0.0036		2012-02
陕西省	2	0	0.0054		2011-09
云南省	629	0	1.4135		2006-07
贵州省	1	0	0.0029		2011-11
黑龙江省	38	0	0.0991		2015-07
天津市	415	0	3.9789		2006-05
北京市	30	0	0.153		2011-05
宁夏	1	0	0.0156		2012-05
吉林省	2	0	0.0073		2016-12
江西省	2	0	0.0044		2016-10
福建省	317	0	0.9021		2005-05
天津市	45	0	0.4186		2007-01
云南省	52	0	0.1116		2013-07
云南省	2	0	0.0043		2014-09
天津市	64	0	0.4529		2013-05
新疆	126	0	0.5565		2014-02
湖南省	179	0	0.2675		2014-04
海南省	4	0	0.0451		2013-03
北京市	3	0	0.0153		2011-01
内蒙古	6	0	0.024		2016-12
贵州省	54	0	0.1458		2005-04
河北省	288	0	0.3928		2014-06
四川省	135	0	0.1549		2004-08
上海市	192	0	1.0579		2007-04
安徽省	168	0	0.2746		2008-12
湖南省	261	0	0.4147		2005-12
吉林省	4	0	0.0148		2005-02
云南省	560	0	1.2585		2006-10
河南省	222	0	0.2367		2006-10
山西省	1	0	0.0028		2013-10
黑龙江省	9	0	0.0235		2011-06
建设兵团	1	0	0.0383		2012-08
海南省	3	0	0.0362		2006-11
北京市	509	1	2.9003	0.0057	2010-04
重庆市	3	0	0.0104		2011-02
北京市	658	0	4.2829		2005-04
安徽省	43	0	0.0721		2012-08
新疆	193	0	1.0374		2004-11
湖南省	225	0	0.334		2015-06
山西省	376	0	1.1207		2006-03
河南省	159	0	0.1689		2014-06
北京市	12	0	0.0708		2009-09
江西省	20	0	0.0444		2013-07
内蒙古	164	1	0.6842	0.0042	2007-03
江西省	7	0	0.0155		2014-03
内蒙古	171	0	0.7172		2004-04
北京市	3	0	0.0153		2011-08
江苏省	16	0	0.0202		2013-03
内蒙古	59	0	0.2355		2015-01
内蒙古	34	0	0.1425		2006-08
海南省	1	0	0.0118		2008-11
浙江省	278	0	0.5367		2010-05
浙江省	826	0	1.7575		2004-12
云南省	8	0	0.017		2015-08
内蒙古	78	0	0.3114		2016-05
贵州省	5	0	0.0143		2014-09
重庆市	9	0	0.0315		2010-07
宁夏	652	0	11.0597		2005-04
山东省	72	0	0.0783		2005-10
湖北省	130	0	0.2281		2008-10
云南省	1094	0	2.4781		2005-01
广西	2	0	0.0043		2012-04
新疆	30	0	0.1325		2014-08
江苏省	1	0	0.0013		2016-11
内蒙古	4	0	0.0165		2010-01
新疆	53	0	0.2306		2016-07
湖北省	317	0	0.5568		2007-12
河南省	22	0	0.0232		2010-11
湖南省	291	0	0.4349		2014-06
内蒙古	43	0	0.1788		2008-08
河北省	2712	1	3.8553	0.0014	2010-03
吉林省	6	0	0.022		2008-09
广西	27	0	0.0579		2006-11
云南省	20	0	0.0424		2016-01
福建省	198	0	0.5601		2006-05
内蒙古	161	0	0.6748		2006-07
甘肃省	121	0	0.4643		2007-03
广西	7	0	0.0147		2015-06
黑龙江省	1893	0	4.9478		2010-04
辽宁省	1	0	0.0023		2014-10
山东省	196	0	0.2002		2015-08
河南省	1146	0	1.2244		2008-03
海南省	1	0	0.012		2007-04
江西省	135	0	0.3068		2009-03
内蒙古	2	0	0.0081		2011-09
四川省	1898	1	2.3234	0.0012	2007-03
四川省	9	0	0.0112		2012-02
辽宁省	108	0	0.2501		2010-04
辽宁省	32	0	0.0741		2010-07
贵州省	38	0	0.1083		2015-03
福建省	74	0	0.2106		2005-09
云南省	309	0	0.6944		2006-01
四川省	144	0	0.1653		2004-01
全国	4483	8	0.3376	0.0006	2009-01
福建省	17	0	0.045		2014-01
内蒙古	9	0	0.0359		2015-08
陕西省	5	0	0.0133		2009-01
吉林省	7	0	0.0256		2009-11
江苏省	777	1	1.0395	0.0013	2006-03
安徽省	84	0	0.1412		2011-04
青海省	15	0	0.278		2004-02
建设兵团	15	0	0.5489		2015-04
重庆市	60	0	0.2131		2008-09
宁夏	13	0	0.1965		2015-06
湖北省	98	0	0.1716		2006-09
天津市	93	0	0.8651		2007-07
重庆市	673	0	2.3899		2008-05
陕西省	1	0	0.0027		2012-08
福建省	1	0	0.0028		2009-10
河北省	1	0	0.0014		2012-10
辽宁省	3	0	0.007		2007-10
湖北省	95	0	0.1633		2015-06
江西省	8	0	0.0176		2015-09
陕西省	2	0	0.0053		2012-04
北京市	13	0	0.0628		2013-01
黑龙江省	20	0	0.0522		2015-02
青海省	154	0	2.6396		2015-06
天津市	445	0	4.2726		2005-04
辽宁省	31	0	0.0721		2008-11
北京市	29	0	0.1401		2013-08
建设兵团	1	0	0.0389		2010-08
上海市	14	0	0.0787		2006-10
上海市	3	0	0.0124		2015-12
重庆市	486	0	1.7308		2007-07
西藏	1	0	0.0315		2015-10
湖南省	99	0	0.1482		2004-09
宁夏	22	0	0.3326		2015-05
湖南省	103	0	0.1539		2014-08
贵州省	6	0	0.0172		2013-08
青海省	8	0	0.1443		2009-09
湖南省	846	0	1.334		2007-05
贵州省	15	0	0.0428		2014-06
天津市	2	0	0.0148		2012-03
全国	366	0	0.0276		2009-11
西藏	28	2	0.9859	0.0704	2008-02
陕西省	29	0	0.0774		2008-01
宁夏	17	0	0.2815		2007-03
青海省	21	0	0.3768		2010-08
北京市	4	0	0.0186		2015-11
江苏省	34	0	0.044		2010-08
浙江省	101	0	0.1856		2011-06
江西省	49	0	0.1079		2015-06
山西省	13	0	0.0356		2016-04
建设兵团	6	0	0.2195		2016-11
西藏	1	0	0.0383		2004-08
辽宁省	1	0	0.0023		2016-11
陕西省	2	0	0.0053		2016-09
福建省	29	0	0.0815		2007-11
河南省	87	0	0.0922		2016-01
黑龙江省	7	0	0.0183		2016-02
四川省	44	0	0.0547		2012-12
吉林省	60	0	0.218		2015-04
福建省	40	0	0.1112		2004-12
内蒙古	349	0	1.4459		2009-04
浙江省	208	0	0.4247		2006-05
河北省	128	0	0.1831		2009-07
云南省	5	0	0.0109		2011-02
湖北省	15	0	0.0261		2012-11
湖北省	49	0	0.0843		2016-03
山东省	44	0	0.0449		2016-07
黑龙江省	13	0	0.034		2008-01
浙江省	325	0	0.6669		2005-07
辽宁省	14	0	0.0332		2005-02
新疆	494	0	2.1493		2016-05
上海市	22	0	0.1644		2004-09
新疆	1732	1	9.3097	0.0054	2004-04
浙江省	47	0	0.0853		2016-05
广东省	641	0	0.6022		2014-08
陕西省	111	0	0.3034		2004-02
四川省	361	0	0.4435		2015-04
山东省	46	0	0.0473		2014-12
全国	3181	1	0.242	0.0001	2007-10
山西省	195	0	0.5884		2004-03
辽宁省	1	0	0.0023		2007-09
贵州省	33	0	0.0885		2006-07
江西省	26	1	0.0577	0.0022	2013-05
安徽省	155	0	0.2534		2008-08
海南省	1	0	0.0111		2016-10
内蒙古	280	0	1.1211		2014-02
山东省	18	0	0.0191		2009-08
广东省	780	0	0.7328		2014-04
辽宁省	26	0	0.0592		2015-05
安徽省	167	0	0.2729		2006-02
广东省	77	0	0.0733		2012-04
全国	4743	5	0.3481	0.0004	2015-02
浙江省	20	0	0.0363		2016-06
全国	3382	0	0.2573		2007-09
陕西省	50	0	0.1367		2004-01
宁夏	15	0	0.2293		2014-07
新疆	36	0	0.159		2014-01
江苏省	5	0	0.0063		2013-01
上海市	4	0	0.0165		2015-11
广东省	37	0	0.0384		2010-02
重庆市	2	0	0.0069		2011-07
湖北省	10	0	0.0172		2016-01
北京市	118	0	0.5484		2016-02
广西	6	0	0.0125		2009-01
天津市	9	0	0.0637		2013-09
北京市	81	0	0.5267		2006-10
山东省	2	0	0.0021		2012-08
重庆市	14	0	0.0475		2013-10
广东省	1250	0	1.3596		2006-08
浙江省	16	0	0.0292		2013-01
天津市	8	0	0.0861		2004-12
河南省	4	0	0.0043		2011-08
广东省	378	0	0.3525		2015-06
湖北省	89	0	0.154		2013-03
安徽省	120	0	0.1973		2015-08
建设兵团	16	0	0.5855		2015-02
天津市	49	0	0.3467		2013-12
陕西省	18	0	0.0478		2014-05
全国	3027	0	0.2329		2005-11
海南省	1	0	0.012		2007-11
贵州省	37	0	0.0977		2009-02
浙江省	713	0	1.4317		2007-08
青海省	73	1	1.2736	0.0174	2013-03
建设兵团	11	0	0.4327		2005-04
新疆	101	0	0.5429		2004-12
福建省	30	0	0.08		2013-10
吉林省	4	0	0.0146		2010-11
广东省	405	0	0.4436		2005-02
上海市	50	0	0.2812		2006-02
山东省	63	0	0.0677		2007-09
云南省	21	0	0.0457		2011-04
浙江省	394	0	0.8383		2004-03
广西	3	0	0.0062		2010-05
重庆市	338	0	1.2003		2008-07
全国	271	0	0.0199		2016-11
内蒙古	2	0	0.0081		2011-07
山西省	86	0	0.2522		2009-05
云南省	390	1	0.8957	0.0023	2004-07
海南省	10	0	0.1228		2004-08
山东省	242	0	0.26		2007-03
河北省	103	0	0.1513		2005-11
贵州省	1132	1	2.9611	0.0026	2004-05
上海市	35	0	0.1853		2009-01
福建省	52	0	0.148		2005-11
浙江省	268	0	0.4893		2013-03
上海市	43	0	0.2421		2005-10
新疆	247	0	1.1322		2011-06
青海省	227	0	3.8908		2015-02
海南省	63	0	0.6973		2016-05
江苏省	5	0	0.0063		2013-06
河北省	32	0	0.0471		2004-02
重庆市	1	0	0.0035		2011-11
广西	131	0	0.2747		2008-07
安徽省	75	0	0.1233		2016-03
山东省	58	0	0.0599		2013-07
山西省	344	0	1.0193		2007-03
黑龙江省	232	0	0.605		2014-05
江苏省	1319	0	1.7181		2009-04
山西省	38	0	0.1114		2009-06
广西	281	0	0.5893		2008-05
云南省	11	0	0.0239		2011-10
重庆市	189	0	0.6755		2006-04
安徽省	658	1	1.0817	0.0016	2015-04
重庆市	203	0	0.7229		2007-12
江苏省	29	0	0.0366		2013-04
四川省	20	0	0.0246		2015-09
新疆	163	0	0.7092		2015-01
天津市	41	0	0.3338		2010-09
全国	217	0	0.0162		2011-09
西藏	41	0	1.2911		2015-06
甘肃省	64	1	0.247	0.0039	2015-08
重庆市	19	0	0.0635		2016-07
全国	2520	1	0.1898	0.0001	2009-07
安徽省	40	0	0.0668		2013-09
青海省	5	0	0.0857		2016-09
河南省	2612	2	2.7702	0.0021	2009-04
河南省	73	0	0.0775		2014-07
全国	8236	6	0.6336	0.0005	2005-01
云南省	29	0	0.0619		2014-03
湖南省	19	0	0.0282		2015-11
建设兵团	3	0	0.118		2005-02
湖南省	453	1	0.7095	0.0016	2009-02
福建省	2	0	0.0053		2016-12
云南省	99	0	0.2112		2014-11
山西省	3	0	0.0084		2011-01
西藏	4	0	0.1444		2006-12
湖南省	20	0	0.0313		2009-08
河南省	18	0	0.0192		2012-07
河北省	1206	1	1.771	0.0015	2005-04
海南省	2	0	0.0239		2007-01
浙江省	234	0	0.4256		2014-03
湖北省	409	0	0.7184		2007-03
北京市	169	0	0.7991		2014-07
安徽省	34	1	0.0559	0.0016	2016-08
宁夏	2	0	0.0313		2012-07
四川省	87	0	0.1069		2016-05
浙江省	124	0	0.2255		2014-02
云南省	246	0	0.5415		2009-01
黑龙江省	2	0	0.0052		2011-09
青海省	83	0	1.5431		2005-02
浙江省	110	0	0.1997		2015-02
新疆	74	0	0.361		2007-08
四川省	18	0	0.0224		2012-08
建设兵团	1	0	0.0383		2012-03
宁夏	4	0	0.064		2010-07
云南省	11	0	0.0238		2012-06
内蒙古	9	0	0.0374		2008-09
甘肃省	34	1	0.1319	0.0039	2013-03
吉林省	3	0	0.011		2007-10
辽宁省	1	0	0.0023		2016-10
上海市	19	0	0.0798		2013-08
上海市	4	0	0.0174		2011-08
浙江省	325	0	0.6348		2009-04
黑龙江省	7	0	0.0184		2005-09
河北省	816	0	1.1983		2005-03
贵州省	185	0	0.4918		2008-05
青海省	491	0	9.1282		2005-05
浙江省	90	0	0.1634		2015-07
黑龙江省	7	0	0.0183		2006-10
甘肃省	75	0	0.291		2013-05
吉林省	14	0	0.0515		2006-11
山东省	1293	2	1.3804	0.0021	2008-02
湖北省	11	0	0.0192		2010-11
辽宁省	498	0	1.1798		2006-06
陕西省	5	0	0.0133		2014-12
建设兵团	2	0	0.0787		2005-09
黑龙江省	8	0	0.0209		2008-09
山西省	6	0	0.0164		2015-07
江西省	191	0	0.4402		2007-07
安徽省	19	0	0.0312		2016-01
河南省	50	0	0.0531		2014-01
江西省	15	0	0.0333		2013-03
安徽省	123	0	0.2022		2005-08
全国	572	1	0.0425	0.0001	2012-04
甘肃省	8	0	0.031		2014-08
广西	114	1	0.2348	0.0021	2004-12
山西省	5	0	0.0147		2009-11
内蒙古	74	0	0.2972		2013-04
吉林省	8	0	0.03		2004-04
贵州省	6	0	0.0173		2011-10
云南省	3	0	0.0066		2010-10
安徽省	1010	1	1.6463	0.0016	2009-04
贵州省	14	0	0.0399		2015-06
广东省	23	0	0.0241		2009-11
天津市	4	0	0.0359		2008-11
建设兵团	40	0	1.4637		2016-10
贵州省	8	0	0.0211		2010-04
上海市	99	0	0.5568		2006-03
湖北省	148	0	0.2597		2008-09
山西省	1	0	0.0027		2015-09
广东省	53	0	0.0508		2011-04
内蒙古	2	0	0.008		2014-11
安徽省	17	0	0.0277		2009-12
天津市	43	0	0.3656		2009-04
内蒙古	9	0	0.0377		2006-09
河北省	20	0	0.0271		2016-08
湖北省	29	0	0.0504		2012-04
海南省	2	0	0.0239		2007-06
湖北省	78	0	0.137		2005-09
河北省	110	0	0.15		2014-07
贵州省	1	0	0.0026		2010-10
青海省	6	0	0.1082		2009-01
甘肃省	266	0	1.0176		2004-05
天津市	52	0	0.3428		2015-02
江西省	34	0	0.0778		2008-09
浙江省	8	0	0.0146		2013-10
海南省	3	0	0.0359		2007-03
宁夏	9	0	0.151		2006-05
安徽省	88	0	0.144		2007-12
广西	117	0	0.2479		2014-01
上海市	170	0	0.9002		2009-03
江西省	6	0	0.0133		2014-04
河南省	236	1	0.2501	0.0011	2016-04
甘肃省	1	0	0.0039		2012-12
河北省	798	0	1.0808		2015-03
全国	557	1	0.0413	0.0001	2012-11
全国	855	0	0.0631		2014-11
全国	13189	12	0.9931	0.0009	2009-04
甘肃省	97	0	0.3763		2013-04
江苏省	1	0	0.0013		2013-12
山东省	65	0	0.0709		2004-07
新疆	11	0	0.0504		2011-11
内蒙古	117	0	0.4865		2008-01
江西省	445	0	1.0389		2004-06
广东省	2035	1	2.1537	0.0011	2008-04
新疆	317	0	1.3792		2015-05
广西	49	0	0.1038		2007-03
建设兵团	5	0	0.1938		2007-09
全国	5426	5	0.4086	0.0004	2009-02
陕西省	1	0	0.0027		2012-10
甘肃省	186	0	0.7179		2015-03
陕西省	91	0	0.2411		2015-03
重庆市	48	0	0.1721		2005-01
四川省	80	0	0.0987		2014-07
内蒙古	1	0	0.004		2014-09
山西省	918	0	2.7527		2005-03
河北省	512	0	0.6934		2015-02
河北省	583	0	0.8342		2009-03
山西省	1	0	0.0028		2011-10
河南省	609	3	0.6454	0.0032	2015-01
浙江省	61	0	0.1206		2008-11
贵州省	5	0	0.0144		2011-12
云南省	114	0	0.2462		2012-10
甘肃省	64	0	0.2435		2009-01
全国	722	1	0.053	0.0001	2015-09
河南省	1409	2	1.4943	0.0021	2009-05
广西	1	0	0.0021		2009-10
安徽省	11	0	0.0181		2015-11
浙江省	4	0	0.0073		2016-11
陕西省	48	0	0.1276		2009-06
山东省	995	0	1.0822		2005-04
山西省	9	0	0.0252		2011-06
安徽省	333	0	0.5474		2015-06
西藏	22	0	0.6928		2015-11
广东省	27	0	0.0252		2016-02
西藏	23	0	0.8301		2006-02
辽宁省	5	0	0.0114		2012-05
甘肃省	25	0	0.0964		2006-12
云南省	5	0	0.0106		2015-11
湖北省	232	0	0.4001		2014-05
青海省	46	0	0.8175		2011-07
黑龙江省	613	0	1.6022		2010-03
福建省	10	0	0.0279		2008-10
宁夏	19	0	0.3115		2008-04
吉林省	78	0	0.2879		2005-03
福建省	6	0	0.016		2013-02
北京市	621	1	2.9364	0.0047	2014-04
海南省	2	0	0.0234		2009-09
广西	20	0	0.0415		2009-05
建设兵团	8	0	0.2927		2016-07
辽宁省	14	0	0.0332		2006-09
上海市	104	0	0.5855		2005-08
安徽省	163	0	0.253		2004-07
四川省	1063	0	1.2944		2006-05
福建省	50	0	0.1334		2013-07
云南省	17	0	0.0361		2016-03
吉林省	4	0	0.0147		2007-09
重庆市	9	0	0.0308		2012-03
广西	71	0	0.1462		2004-10
湖北省	153	0	0.2546		2004-04
建设兵团	1	0	0.037		2014-02
新疆	77	0	0.3614		2009-05
安徽省	92	1	0.1546	0.0017	2011-05
天津市	7	0	0.0672		2005-11
山西省	6	0	0.0164		2016-02
上海市	139	0	0.5755		2014-03
建设兵团	1	0	0.0378		2013-09
山西省	95	0	0.2617		2014-11
宁夏	9	0	0.136		2016-04
广西	7	0	0.0147		2016-07
黑龙江省	38	0	0.0991		2014-07
西藏	60	0	2.0005		2011-03
河南省	31	0	0.033		2013-08
浙江省	82	0	0.1489		2016-03
河北省	4	0	0.0056		2011-06
全国	1377	0	0.1011		2016-07
上海市	29	0	0.151		2010-07
云南省	405	0	0.9301		2004-03
天津市	12	0	0.0791		2015-06
上海市	2	0	0.0087		2011-10
山东省	52	1	0.0531	0.001	2015-11
山东省	389	1	0.3974	0.001	2015-04
辽宁省	388	0	0.9201		2005-04
重庆市	286	0	1.0156		2008-11
西藏	4	0	0.1282		2014-06
北京市	18	0	0.087		2013-02
四川省	306	0	0.3765		2008-02
上海市	10	0	0.0412		2016-02
河北省	38	0	0.0547		2008-12
黑龙江省	209	0	0.5464		2009-05
西藏	363	0	13.2429		2005-06
云南省	64	0	0.1409		2009-04
北京市	538	0	2.5005		2016-03
内蒙古	34	0	0.1357		2016-06
云南省	4	0	0.0088		2010-08
河北省	66	0	0.0894		2016-07
新疆	5	0	0.0226		2012-11
广西	44	1	0.0944	0.0021	2006-10
内蒙古	185	0	0.7692		2008-07
吉林省	3	0	0.0109		2013-11
贵州省	25	0	0.0675		2005-06
湖南省	7	0	0.0107		2011-07
山西省	24	0	0.0668		2012-05
河北省	216	0	0.2925		2016-02
安徽省	23	0	0.0385		2012-05
辽宁省	15	0	0.036		2004-08
青海省	64	0	1.1861		2004-12
吉林省	2	0	0.0073		2009-12
内蒙古	4	0	0.0161		2013-09
河北省	57	0	0.0782		2013-03
广东省	1738	0	1.8904		2006-04
云南省	427	1	0.9459	0.0022	2008-12
重庆市	7	0	0.0236		2014-02
江苏省	612	0	0.7972		2009-01
内蒙古	935	0	3.7436		2014-05
海南省	22	0	0.2681		2005-09
河南省	235	0	0.2518		2005-08
河南省	104	0	0.1073		2004-02
浙江省	1	0	0.0018		2016-12
福建省	271	0	0.7537		2004-05
广东省	810	0	0.7646		2013-04
广西	10	0	0.0212		2014-12
贵州省	18	0	0.0483		2006-05
海南省	1	0	0.0114		2012-03
广东省	254	0	0.2369		2016-06
山西省	18	0	0.0528		2009-07
广西	9	0	0.0187		2009-06
浙江省	64	0	0.1176		2011-07
辽宁省	20	0	0.048		2004-04
河南省	12	0	0.0128		2012-01
天津市	39	0	0.2571		2016-02
四川省	55	0	0.0672		2010-08
新疆	11	0	0.0537		2007-02
安徽省	71	0	0.116		2006-07
全国	2237	0	0.1721		2005-09
天津市	1	0	0.0074		2012-09
北京市	142	0	0.66		2016-05
江西省	3	0	0.0067		2011-10
辽宁省	52	0	0.1185		2013-08
江西省	2	0	0.0045		2010-11
建设兵团	2	0	0.0765		2012-04
湖南省	35	0	0.0523		2014-12
宁夏	28	0	0.4443		2011-05
上海市	44	0	0.2475		2006-01
贵州省	1	0	0.0029		2012-06
四川省	126	0	0.155		2008-06
浙江省	8	0	0.0147		2011-10
云南省	43	0	0.0923		2013-08
安徽省	796	1	1.3293	0.0017	2013-03
安徽省	378	0	0.6187		2007-04
全国	3780	0	0.2908		2004-02
福建省	47	0	0.1307		2004-10
湖北省	1089	1	1.913	0.0018	2005-04
四川省	154	0	0.19		2014-06
贵州省	95	0	0.2525		2008-04
山东省	60	0	0.0654		2004-05
四川省	430	1	0.5251	0.0012	2005-01
